CustomerId,France,Germany,Spain,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,CreditLevel
15676709,1.0,0.0,0.0,0.6106705142286786,0.4292954478313731,0.0,0,1,0.1422165041547719,0,2
15572265,0.0,1.0,0.0,0.1,0.6808603046758945,0.3333333333333333,1,0,0.2251946847546269,0,5
15797527,0.7135180941318153,0.0,0.2864819058681846,0.6000000000000001,0.1668189529491817,0.1909879372454564,1,0,0.7055104237181237,1,0
15670059,0.2712762354491514,0.7287237645508485,0.0,0.7271276235449152,0.3939698289252451,0.0904254118163838,0,0,0.6676786333748524,0,7
15584785,1.0,0.0,0.0,0.2,0.3879061414935443,0.0,1,0,0.1164250239898987,0,6
15743661,0.0,0.2352846370290273,0.7647153629709726,0.7353007540796808,0.4875379495190512,0.3333333333333333,0,1,0.5120601680376514,0,7
15785637,1.0,0.0,0.0,0.6770786642302146,0.0,0.3333333333333333,1,0,0.753769464815658,0,9
15714391,1.0,0.0,0.0,0.2,0.7316629632373847,0.0,1,1,0.3300432448305944,1,4
15591047,0.0,0.0,1.0,0.6000000000000001,0.626931914866311,0.3333333333333333,0,0,0.7364846401635213,1,3
15619537,1.0,0.0,0.0,0.5,0.5667647370292855,0.3333333333333333,1,1,0.6111754520273041,0,4
15776821,1.0,0.0,0.0,0.624831873880782,0.5791361614554289,0.0,0,1,0.6809710508650717,0,2
15674678,0.0,1.0,0.0,0.9,0.3153482356123158,0.0,0,0,0.0026852483277085,1,7
15774531,1.0,0.0,0.0,0.609250216785978,0.0416376737030173,0.3024992773800734,0,0,0.2641907060544533,0,2
15756560,0.0,0.0,1.0,0.7000000000000001,0.3258009656430625,0.3333333333333333,1,0,0.4164381866777196,0,4
15734044,1.0,0.0,0.0,0.7000000000000001,0.1646048002995957,0.0,0,1,0.5134535472143412,0,6
15712403,1.0,0.0,0.0,0.1,0.0,0.0,1,0,0.305547292757181,1,4
15609955,0.2636028108782379,0.0,0.7363971891217621,0.5527205621756476,0.1858003270049383,0.4212009369594126,1,0,0.7152642525748926,0,8
15767549,0.6698182367615118,0.0,0.3301817632384882,0.6660363526476978,0.1889016752746657,0.2201211754923255,1,0,0.7613839949445117,1,0
15701166,1.0,0.0,0.0,0.5,0.5251299840504964,0.3333333333333333,1,1,0.193789721861204,0,6
15768451,0.0,1.0,0.0,0.5,0.5943888612304702,0.6666666666666667,1,1,0.3001883484607557,1,7
15571752,0.0,1.0,0.0,1.0,0.3668496240844241,0.0,1,1,0.2179661086793923,0,6
15718105,0.4078192550255879,0.0,0.5921807449744121,0.2407819255025588,0.3114246307955118,0.1359397516751959,0,0,0.7199884641883836,0,3
15721443,0.3633582387183726,0.6366417612816274,0.0,0.8273283522563255,0.3624580944174164,0.2122139204272091,0,1,0.3141031968101147,0,2
15741775,0.9146790738600256,0.0853209261399743,0.0,0.3170641852279949,0.6400310707497684,0.0,0,0,0.9381801501477898,0,3
15717922,0.634171197019202,0.0,0.365828802980798,0.9365828802980798,0.1102196042277953,0.0,1,0,0.1773819288583262,0,9
15609643,0.0,1.0,0.0,0.9,0.4606949777895878,0.3333333333333333,0,1,0.5084332220639455,0,7
15683363,0.0,0.0,1.0,0.1,0.0,0.0,0,1,0.5421498570007997,0,3
15686326,0.3836589783080161,0.6163410216919839,0.0,0.6465364086767936,0.3380775891157183,0.127886326102672,0,0,0.7114243644018845,0,9
15763859,1.0,0.0,0.0,0.7000000000000001,0.0,0.3333333333333333,1,0,0.4545796751696696,0,9
15668309,1.0,0.0,0.0,0.0,0.4428046861576348,0.0,1,1,0.8617241140640919,1,0
15700354,0.9635742353010144,0.0364257646989856,0.0,0.5145703058795943,0.0263689032650257,0.0121419215663285,1,0,0.2926218190655035,0,2
15624374,1.0,0.0,0.0,0.9,0.0,0.3333333333333333,0,1,0.0107001349675603,0,6
15749995,0.0,0.0,1.0,0.7000000000000001,0.114452453475886,0.2696487926799128,0,1,0.8709945955088043,0,9
15568326,1.0,0.0,0.0,0.2,0.0,0.3333333333333333,1,0,0.7484231780129502,0,5
15713559,0.0,1.0,0.0,0.5,0.5843099483140746,0.3333333333333333,1,1,0.3647513322220397,0,2
15628813,1.0,0.0,0.0,0.4,0.6071849729904282,0.0,1,0,0.0461604259589808,0,6
15780132,0.0075371128315865,0.0,0.9924628871684136,0.6000000000000001,0.5779130070243754,0.6616419247789423,1,0,0.505258444329302,1,0
15639133,1.0,0.0,0.0,0.4,0.0,0.3333333333333333,1,0,0.6469389049243855,0,8
15690673,1.0,0.0,0.0,0.6000000000000001,0.0,0.3333333333333333,1,0,0.7054355499392977,0,5
